"t0",1688658.00,162436.00,-1900.00,0.00,0.00,0.00,0.00,0.00,0.00
"t1",1688656.15,163044.85,-1814.16,-0.01,2.00,0.28,0.00,0.00,0.00
"t2",1688650.52,164262.53,-1652.18,-0.01,2.00,0.25,0.00,0.00,0.00
"t3",1688640.95,165480.19,-1523.61,-0.02,2.00,0.17,0.00,0.00,0.00
"t4",1688627.93,166697.82,-1430.91,-0.02,2.00,0.13,0.00,0.00,0.00
"t5",1688613.07,167915.43,-1357.99,-0.03,2.00,0.11,0.00,0.00,0.00
"t6",1688599.36,169133.05,-1300.95,-0.02,2.00,0.08,0.00,0.00,0.00
"t7",1688591.11,170350.71,-1257.60,-0.01,2.00,0.06,0.00,0.00,0.00
"t8",1688592.81,171568.39,-1224.86,0.01,2.00,0.05,0.00,0.00,0.00
"t9",1688608.14,172785.96,-1200.19,0.04,2.00,0.04,0.00,0.00,0.00
"t10",1688639.51,174003.20,-1181.05,0.07,2.00,0.03,0.00,0.00,0.00
"t11",1688688.49,175219.83,-1166.80,0.10,1.99,0.02,0.00,0.00,0.00
"t12",1688756.14,176435.55,-1155.84,0.13,1.99,0.02,0.00,0.00,0.00
"t13",1688843.34,177649.98,-1146.46,0.16,1.99,0.01,0.00,0.00,0.00
"t14",1688950.75,178862.76,-1139.24,0.19,1.99,0.01,0.00,0.00,0.00
"t15",1689078.52,180073.53,-1133.33,0.23,1.98,0.01,0.00,0.00,0.00
"t16",1689226.59,181281.95,-1128.47,0.26,1.98,0.01,0.00,0.00,0.00
"t17",1689394.62,182487.72,-1125.43,0.29,1.97,0.00,0.00,0.00,0.00
"t18",1689582.26,183690.57,-1123.75,0.32,1.97,0.00,0.00,0.00,0.00
"t19",1689789.06,184890.26,-1123.18,0.35,1.96,0.00,0.00,0.00,0.00
"t20",1690014.66,186086.53,-1122.12,0.39,1.96,0.00,0.00,0.00,0.00
"t21",1690258.75,187279.18,-1121.38,0.42,1.95,0.00,0.00,0.00,0.00
"t22",1690521.21,188467.93,-1121.64,0.45,1.95,0.00,0.00,0.00,0.00
"t23",1690802.03,189652.50,-1121.06,0.48,1.94,0.00,0.00,0.00,0.00
"t24",1691101.35,190832.57,-1120.42,0.51,1.93,0.00,0.00,0.00,0.00
"t25",1691419.55,192007.73,-1120.58,0.54,1.92,0.00,0.00,0.00,0.00
"t26",1691756.89,193177.60,-1120.96,0.57,1.91,0.00,0.00,0.00,0.00
"t27",1692113.44,194341.83,-1121.88,0.60,1.90,0.00,0.00,0.00,0.00
"t28",1692489.21,195500.07,-1122.82,0.63,1.89,0.00,0.00,0.00,0.00
"t29",1692884.40,196651.89,-1124.06,0.66,1.88,0.00,0.00,0.00,0.00
"t30",1693299.18,197796.86,-1126.13,0.70,1.87,0.00,0.00,0.00,0.00
"t31",1693733.72,198934.56,-1128.65,0.73,1.86,0.00,0.00,0.00,0.00
"t32",1694188.10,200064.54,-1132.08,0.76,1.85,-0.01,0.00,0.00,0.00
"t33",1694662.25,201186.44,-1136.57,0.79,1.83,-0.01,0.00,0.00,0.00
"t34",1695155.57,202300.10,-1142.46,0.82,1.82,-0.01,0.00,0.00,0.00
"t35",1695666.67,203405.78,-1150.09,0.85,1.81,-0.01,0.00,0.00,0.00
"t36",1696193.93,204503.92,-1159.89,0.88,1.79,-0.02,0.00,0.00,0.00
"t37",1696736.05,205594.86,-1172.73,0.90,1.78,-0.02,0.00,0.00,0.00
"t38",1697294.21,206677.71,-1190.09,0.93,1.77,-0.03,0.00,0.00,0.00
"t39",1697871.40,207750.57,-1212.54,0.96,1.75,-0.04,0.00,0.00,0.00
"t40",1698470.70,208811.25,-1242.15,1.00,1.73,-0.06,0.00,0.00,0.00
"t41",1699093.29,209858.49,-1280.25,1.04,1.71,-0.07,0.00,0.00,0.00
"t42",1699738.70,210891.87,-1333.78,1.08,1.68,-0.11,0.00,0.00,0.00
"t43",1700411.08,211907.84,-1430.46,1.13,1.65,-0.21,0.00,0.00,0.00
"t44",1700766.00,213020.00,-1500.00,0.04,2.00,-0.02,0.00,0.00,0.00
"t45",1700576.12,214204.83,-1468.84,-0.66,1.89,0.12,0.00,0.00,0.00
"t46",1700175.01,215356.09,-1407.66,-0.66,1.89,0.08,0.00,0.00,0.00
"t47",1699785.02,216511.11,-1347.59,-0.62,1.90,0.12,0.00,0.00,0.00
"t48",1699414.98,217672.70,-1309.08,-0.59,1.91,0.01,0.00,0.00,0.00
"t49",1699066.27,218840.84,-1317.91,-0.55,1.92,-0.04,0.00,0.00,0.00
"t50",1698739.47,220015.32,-1365.27,-0.52,1.93,-0.12,0.00,0.00,0.00
"t51",1698435.59,221195.89,-1424.43,-0.48,1.94,-0.08,0.00,0.00,0.00
"t52",1698157.10,222382.72,-1414.81,-0.44,1.95,0.11,0.00,0.00,0.00
"t53",1697914.34,223577.19,-1318.86,-0.36,1.97,0.21,0.00,0.00,0.00
"t54",1697713.36,224779.47,-1224.40,-0.30,1.98,0.10,0.00,0.00,0.00
"t55",1697548.18,225987.21,-1175.95,-0.24,1.98,0.06,0.00,0.00,0.00
"t56",1697407.83,227198.17,-1163.33,-0.22,1.99,-0.01,0.00,0.00,0.00
"t57",1697288.21,228411.29,-1176.49,-0.17,1.99,-0.03,0.00,0.00,0.00
"t58",1697188.11,229626.22,-1221.22,-0.15,1.99,-0.12,0.00,0.00,0.00
"t59",1697106.40,230842.46,-1286.30,-0.11,2.00,-0.10,0.00,0.00,0.00
"t60",1697042.50,232059.80,-1346.14,-0.10,2.00,-0.10,0.00,0.00,0.00
"t61",1696994.62,233277.83,-1306.02,-0.06,2.00,0.23,0.00,0.00,0.00
"t62",1696962.19,234496.38,-1177.59,-0.04,2.00,0.19,0.00,0.00,0.00
"t63",1696943.87,235715.19,-1139.77,-0.02,2.00,-0.07,0.00,0.00,0.00
"t64",1696939.26,236934.13,-1130.46,0.00,2.00,0.10,0.00,0.00,0.00
"t65",1696950.90,238152.96,-1112.44,0.04,2.00,-0.04,0.00,0.00,0.00
"t66",1696983.46,239371.42,-1116.84,0.07,2.00,0.02,0.00,0.00,0.00
"t67",1697037.56,240589.07,-1119.35,0.11,2.00,-0.03,0.00,0.00,0.00
"t68",1697111.50,241805.69,-1126.73,0.13,1.99,0.01,0.00,0.00,0.00
"t69",1697204.30,243020.98,-1131.48,0.17,1.99,-0.02,0.00,0.00,0.00
"t70",1697316.17,244234.68,-1139.80,0.20,1.99,-0.01,0.00,0.00,0.00
"t71",1697446.23,245446.52,-1147.63,0.23,1.98,-0.02,0.00,0.00,0.00
"t72",1697592.73,246656.50,-1159.52,0.25,1.98,-0.02,0.00,0.00,0.00
"t73",1697751.59,247864.90,-1173.16,0.27,1.98,-0.03,0.00,0.00,0.00
"t74",1697919.75,249072.04,-1192.13,0.28,1.98,-0.04,0.00,0.00,0.00
"t75",1698096.74,250277.90,-1215.18,0.30,1.98,-0.04,0.00,0.00,0.00
"t76",1698285.30,251481.98,-1246.39,0.32,1.97,-0.06,0.00,0.00,0.00
"t77",1698488.58,252683.64,-1285.67,0.35,1.97,-0.07,0.00,0.00,0.00
"t78",1698707.37,253882.58,-1339.27,0.37,1.96,-0.11,0.00,0.00,0.00
"t79",1698940.88,255078.72,-1408.09,0.40,1.96,-0.12,0.00,0.00,0.00
"t80",1699186.09,256272.53,-1499.69,0.41,1.96,-0.18,0.00,0.00,0.00
"t81",1699440.31,257464.45,-1641.02,0.43,1.95,-0.28,0.00,0.00,0.00
"t82",1699701.09,258654.30,-1723.89,0.43,1.95,0.01,0.00,0.00,0.00
"t83",1699846.26,259271.85,-1645.25,0.05,0.08,0.25,0.00,0.00,0.00
"t84",1699792.31,259231.49,-1520.18,-0.22,-0.21,0.16,0.00,0.00,0.00
"t85",1699672.96,259109.94,-1431.26,-0.17,-0.19,0.13,0.00,0.00,0.00
"t86",1699574.66,259007.31,-1365.34,-0.15,-0.15,0.08,0.00,0.00,0.00
"t87",1699497.20,258927.48,-1317.23,-0.10,-0.12,0.07,0.00,0.00,0.00
"t88",1699440.15,258867.97,-1282.38,-0.09,-0.08,0.04,0.00,0.00,0.00
"t89",1699402.42,258829.11,-1261.67,-0.04,-0.05,0.03,0.00,0.00,0.00
"t90",1699383.81,258809.77,-1249.81,-0.02,-0.02,0.01,0.00,0.00,0.00
